Product,DailySales
Industrial Valve A,8
Industrial Valve B,6
Industrial Valve C,9
Hydraulic Pump A,18
Hydraulic Pump B,12
Hydraulic Pump C,15
Control Sensor A,12
Control Sensor B,8
Control Sensor C,7
Power Module A,7
Power Module B,6
Power Module C,9
Pressure Gauge A,9
Pressure Gauge B,8
Pressure Gauge C,7
Flow Meter A,5
Flow Meter B,4
Flow Meter C,6
Safety Switch A,3
Safety Switch B,2
Safety Switch C,4
Motor Controller A,6
Motor Controller B,4
Motor Controller C,5
Pipe Connector A,10
Pipe Connector B,12
Pipe Connector C,9
Actuator Unit A,4
Actuator Unit B,5
Actuator Unit C,6
Bearing Assembly A,7
Bearing Assembly B,6
Bearing Assembly C,5
PLC Controller A,4
PLC Controller B,3
PLC Controller C,5
Industrial Relay A,8
Industrial Relay B,6
Industrial Relay C,7
Servo Motor A,4
Servo Motor B,3
Servo Motor C,5
Temperature Probe A,6
Temperature Probe B,5
Temperature Probe C,7
Circuit Breaker A,5
Circuit Breaker B,4
Circuit Breaker C,6
Industrial Fan A,3
Industrial Fan B,4